score
-0.684210526
-0.625
-0.35
-0.95
-0.428571429
-0.179487179
-0.8
-0.6
-0.55
-0.7
-0.4
-0.297297297
0.29411764
-0.481481481
-0.55
-0.85
-0.5
-0.705882353
-0.3
0.5135
-0.4
-0.6
-0.3
-0.33333333
-0.5
-0.5
-0.3
-0.7
0.25
-0.65
0.8
-0.142857143
-0.310344828
-0.65
